# ----------------------------------------,,,,,,,,,
# jbdon,,,,,,,,,
# Channels,,,,,,,,,
# 20180831-20190831,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Contact From Good Lead (Goal 1 Conversion Rate),Contact From Good Lead (Goal 1 Completions),Contact From Good Lead (Goal 1 Value)
brightonseo.com,25,25,31,0.00%,1.42,00:01:08,0.00%,0,£0.00
clutch.co,24,23,31,54.84%,1.58,00:01:04,0.00%,0,£0.00
yell.com,5,5,7,0.00%,1.86,00:00:24,0.00%,0,£0.00
free-website-traffic.com,4,4,4,25.00%,2.25,00:00:36,0.00%,0,£0.00
growthbug.com,4,4,6,0.00%,1.17,00:05:15,0.00%,0,£0.00
jbdon.com,4,3,12,58.33%,2.08,00:06:39,0.00%,0,£0.00
businessofapps.com,3,3,6,50.00%,1.5,00:04:36,0.00%,0,£0.00
s3.amazonaws.com,3,0,6,0.00%,2.33,00:02:39,16.67%,1,£0.00
mobuzz.org,2,2,2,50.00%,2,00:01:35,0.00%,0,£0.00
search.google.com,2,0,8,0.00%,2.88,00:07:34,0.00%,0,£0.00
,101,88,144,23.61%,3.85,00:02:54,2.08%,3,£0.00
,,,,,,,,,
Day Index,Users,,,,,,,,
5/14/19,0,,,,,,,,
5/15/19,0,,,,,,,,
5/16/19,0,,,,,,,,
5/17/19,0,,,,,,,,
5/18/19,0,,,,,,,,
5/19/19,0,,,,,,,,
5/20/19,0,,,,,,,,
5/21/19,0,,,,,,,,
5/22/19,1,,,,,,,,
5/23/19,1,,,,,,,,
5/24/19,1,,,,,,,,
5/25/19,0,,,,,,,,
5/26/19,0,,,,,,,,
5/27/19,1,,,,,,,,
5/28/19,1,,,,,,,,
5/29/19,1,,,,,,,,
5/30/19,0,,,,,,,,
5/31/19,1,,,,,,,,
06-01-2019,0,,,,,,,,
06-02-2019,0,,,,,,,,
06-03-2019,0,,,,,,,,
06-04-2019,0,,,,,,,,
06-05-2019,0,,,,,,,,
06-06-2019,0,,,,,,,,
06-07-2019,1,,,,,,,,
06-08-2019,1,,,,,,,,
06-09-2019,0,,,,,,,,
06-10-2019,0,,,,,,,,
06-11-2019,0,,,,,,,,
06-12-2019,1,,,,,,,,
6/13/19,4,,,,,,,,
6/14/19,2,,,,,,,,
6/15/19,2,,,,,,,,
6/16/19,0,,,,,,,,
6/17/19,1,,,,,,,,
6/18/19,0,,,,,,,,
6/19/19,3,,,,,,,,
6/20/19,1,,,,,,,,
6/21/19,2,,,,,,,,
6/22/19,0,,,,,,,,
6/23/19,0,,,,,,,,
6/24/19,1,,,,,,,,
6/25/19,0,,,,,,,,
6/26/19,1,,,,,,,,
6/27/19,0,,,,,,,,
6/28/19,3,,,,,,,,
6/29/19,2,,,,,,,,
6/30/19,1,,,,,,,,
07-01-2019,3,,,,,,,,
07-02-2019,2,,,,,,,,
07-03-2019,1,,,,,,,,
07-04-2019,2,,,,,,,,
07-05-2019,2,,,,,,,,
07-06-2019,1,,,,,,,,
07-07-2019,0,,,,,,,,
07-08-2019,0,,,,,,,,
07-09-2019,1,,,,,,,,
07-10-2019,0,,,,,,,,
07-11-2019,0,,,,,,,,
07-12-2019,3,,,,,,,,
7/13/19,0,,,,,,,,
7/14/19,0,,,,,,,,
7/15/19,1,,,,,,,,
7/16/19,3,,,,,,,,
7/17/19,0,,,,,,,,
7/18/19,0,,,,,,,,
7/19/19,0,,,,,,,,
7/20/19,0,,,,,,,,
7/21/19,1,,,,,,,,
7/22/19,1,,,,,,,,
7/23/19,1,,,,,,,,
7/24/19,0,,,,,,,,
7/25/19,1,,,,,,,,
7/26/19,0,,,,,,,,
7/27/19,0,,,,,,,,
7/28/19,0,,,,,,,,
7/29/19,1,,,,,,,,
7/30/19,0,,,,,,,,
7/31/19,0,,,,,,,,
08-01-2019,0,,,,,,,,
08-02-2019,0,,,,,,,,
08-03-2019,0,,,,,,,,
08-04-2019,0,,,,,,,,
08-05-2019,0,,,,,,,,
08-06-2019,0,,,,,,,,
08-07-2019,0,,,,,,,,
08-08-2019,0,,,,,,,,
08-09-2019,0,,,,,,,,
08-10-2019,0,,,,,,,,
08-11-2019,0,,,,,,,,
08-12-2019,1,,,,,,,,
8/13/19,1,,,,,,,,
8/14/19,1,,,,,,,,
8/15/19,0,,,,,,,,
8/16/19,0,,,,,,,,
8/17/19,0,,,,,,,,
8/18/19,0,,,,,,,,
8/19/19,0,,,,,,,,
8/20/19,0,,,,,,,,
8/21/19,0,,,,,,,,
8/22/19,1,,,,,,,,
8/23/19,1,,,,,,,,
8/24/19,0,,,,,,,,
8/25/19,1,,,,,,,,
8/26/19,1,,,,,,,,
8/27/19,1,,,,,,,,
8/28/19,0,,,,,,,,
8/29/19,0,,,,,,,,
8/30/19,0,,,,,,,,
8/31/19,0,,,,,,,,
,131,,,,,,,,
